Country,Region
Benin,Afrique de l'Ouest
Burkina Faso,Afrique de l'Ouest
Cap-Vert,Afrique de l'Ouest
Cote d'Ivoire,Afrique de l'Ouest
Gambie,Afrique de l'Ouest
Ghana,Afrique de l'Ouest
Guinee,Afrique de l'Ouest
Guinee-Bissau,Afrique de l'Ouest
Liberia,Afrique de l'Ouest
Mali,Afrique de l'Ouest
Mauritanie,Afrique de l'Ouest
Niger,Afrique de l'Ouest
Nigeria,Afrique de l'Ouest
Senegal,Afrique de l'Ouest
Sierra Leone,Afrique de l'Ouest
Togo,Afrique de l'Ouest
Burundi,Afrique Centrale
Cameroun,Afrique Centrale
Congo,Afrique Centrale
Gabon,Afrique Centrale
Guinee equatoriale,Afrique Centrale
Republique centrafricaine,Afrique Centrale
RDC,Afrique Centrale
Sao Tome-et-Principe,Afrique Centrale
Tchad,Afrique Centrale
Comores,Afrique de l'Est
Djibouti,Afrique de l'Est
Erythree,Afrique de l'Est
Ethiopie,Afrique de l'Est
Kenya,Afrique de l'Est
Madagascar,Afrique de l'Est
Maurice,Afrique de l'Est
Ouganda,Afrique de l'Est
Rwanda,Afrique de l'Est
Seychelles,Afrique de l'Est
Somalie,Afrique de l'Est
Soudan,Afrique de l'Est
Soudan du Sud,Afrique de l'Est
Tanzanie,Afrique de l'Est
Algerie,Afrique du Nord
Egypte,Afrique du Nord
Libye,Afrique du Nord
Maroc,Afrique du Nord
Tunisie,Afrique du Nord
Afrique du Sud,Afrique Australe
Angola,Afrique Australe
Botswana,Afrique Australe
Eswatini,Afrique Australe
Lesotho,Afrique Australe
Malawi,Afrique Australe
Mozambique,Afrique Australe
Namibie,Afrique Australe
Zambie,Afrique Australe
Zimbabwe,Afrique Australe
Afrique (multi-pays),International
International,International
Monde,International
